tripduration,start station id,start station latitude,start station longitude,end station id,end station latitude,end station longitude,bikeid,usertype,birth year
1104,301,40.72217444,-73.98368779,304,40.70463334,-74.01361706,20341,Subscriber,1955
534,301,40.72217444,-73.98368779,285,40.73454567,-73.99074142,15886,Subscriber,1975
713,301,40.72217444,-73.98368779,223,40.73781509,-73.99994661,14594,Subscriber,1977
588,301,40.72217444,-73.98368779,369,40.73224119,-74.00026394,16314,Subscriber,1986
820,301,40.72217444,-73.98368779,284,40.73901691,-74.00263761,17821,Customer,
873,301,40.72217444,-73.98368779,279,40.707873,-74.00167,22118,Subscriber,1989
945,301,40.72217444,-73.98368779,387,40.71273266,-74.0046073,16045,Subscriber,1981
1067,301,40.72217444,-73.98368779,474,40.7451677,-73.98683077,16974,Subscriber,1987
662,301,40.72217444,-73.98368779,351,40.70530954,-74.00612572,16560,Subscriber,1990
379,301,40.72217444,-73.98368779,332,40.71219906,-73.97948148,16846,Subscriber,1987
719,301,40.72217444,-73.98368779,347,40.728846,-74.008591,18199,Subscriber,1983
253,301,40.72217444,-73.98368779,349,40.71850211,-73.98329859,19333,Subscriber,1989
331,301,40.72217444,-73.98368779,229,40.72743423,-73.99379025,22408,Subscriber,1964
